TussockTundraHi,0,"[ 0.        0.        0.        0.        0.17255   0.50192   0.691225
  0.767345  0.35969 ]"
TussockTundraHi,1,"[ 0.        0.        0.        0.        0.17255   0.50192   0.767345
  0.767345  0.44993 ]"
TussockTundraHi,2,"[ 0.        0.        0.        0.        0.17255   0.50192   0.691225
  0.767345  0.35969 ]"
